champion,role,counter_champion,winrate,matches
Udyr,JUNGLE,Sylas,59.18,49
Udyr,JUNGLE,Wukong,58.06,31
Udyr,JUNGLE,Ekko,57.66,111
Udyr,JUNGLE,Master Yi,57.41,54
Udyr,JUNGLE,Zyra,57.14,14
Udyr,JUNGLE,Lee Sin,56.25,96
Udyr,JUNGLE,Nidalee,55.56,27
Udyr,JUNGLE,Volibear,54.93,71
Udyr,JUNGLE,Briar,54.17,24
Udyr,JUNGLE,Nunu & Willump,53.49,43
Udyr,JUNGLE,Zac,52.27,44
Udyr,JUNGLE,Zed,52.27,44
Udyr,JUNGLE,Vi,51.85,27
Udyr,JUNGLE,Shaco,50.98,51
Udyr,JUNGLE,Kha'Zix,50.4,125
Urgot,TOP,Illaoi,61.76,34
Urgot,TOP,Teemo,59.26,27
Urgot,TOP,Cho'Gath,58.0,50
Urgot,TOP,Gwen,56.16,73
Urgot,TOP,Gragas,54.55,66
Urgot,TOP,Ambessa,54.36,195
Urgot,TOP,Gnar,52.17,138
Urgot,TOP,Renekton,51.43,140
Urgot,TOP,Fiora,51.15,131
Urgot,TOP,Sion,50.99,151
Urgot,TOP,Irelia,50.89,112
Urgot,TOP,Gangplank,50.82,122
Urgot,TOP,Zaahen,50.72,138
Urgot,TOP,Riven,50.66,152
Varus,ADC,Ziggs,58.62,348
Varus,ADC,Kog'Maw,58.51,188
Varus,ADC,Kalista,57.26,117
Varus,ADC,Swain,53.6,222
Varus,ADC,Miss Fortune,53.19,799
Varus,ADC,Yasuo,53.05,164
Varus,ADC,Draven,51.99,427
Varus,ADC,Sivir,51.56,540
Varus,ADC,Samira,51.55,322
Varus,ADC,Corki,50.71,850
Varus,ADC,Vayne,50.53,283
Varus,ADC,Twitch,50.49,612
Varus,ADC,Zeri,50.18,275
Vayne,ADC,Mel,65.91,44
Vayne,ADC,Veigar,62.5,40
Vayne,ADC,Ziggs,62.5,40
Vayne,ADC,Tristana,56.45,124
Vayne,ADC,Miss Fortune,55.71,140
Vayne,ADC,Samira,55.0,140
Vayne,ADC,Jinx,54.74,369
Vayne,ADC,Aphelios,54.15,301
Vayne,ADC,Swain,53.52,71
Vayne,ADC,Jhin,53.41,279
Vayne,ADC,Draven,53.15,111
Vayne,ADC,Zeri,52.34,107
Vayne,ADC,Nilah,52.17,69
Vayne,ADC,Xayah,52.05,73
Vayne,ADC,Yunara,52.01,348
Vayne,ADC,Ashe,52.0,150
Vayne,ADC,Twitch,50.43,234
Veigar,ADC,Mel,77.78,9
Veigar,ADC,Zeri,65.52,29
Veigar,ADC,Ziggs,55.17,29
Veigar,ADC,Twitch,53.66,41
Veigar,ADC,Ashe,53.49,43
Veigar,ADC,Varus,52.38,105
Veigar,ADC,Jinx,52.08,96
Veigar,MID,Lux,62.5,56
Veigar,MID,Talon,61.29,31
Veigar,MID,Kassadin,60.96,146
Veigar,MID,Twisted Fate,60.42,96
Veigar,MID,Neeko,60.0,20
Veigar,MID,Diana,58.06,31
Veigar,MID,Qiyana,58.06,62
Veigar,MID,Azir,57.14,42
Veigar,MID,Anivia,55.22,67
Veigar,MID,Hwei,55.17,58
Veigar,MID,Lissandra,55.0,40
Veigar,MID,Vladimir,54.72,53
Veigar,MID,Taliyah,54.55,66
Veigar,MID,Vel'Koz,54.17,24
Veigar,MID,Yone,54.0,50
Veigar,MID,Katarina,53.72,121
Veigar,MID,Swain,53.57,28
Veigar,MID,Xerath,53.33,75
Veigar,MID,Galio,53.09,81
Veigar,MID,Yasuo,52.76,127
Veigar,MID,Ryze,52.5,200
Veigar,MID,Aurora,52.08,48
Veigar,MID,Sylas,52.0,100
Veigar,MID,Akali,51.97,127
Veigar,MID,Cassiopeia,51.85,27
Veigar,MID,Syndra,51.08,139
Vel'Koz,MID,Ziggs,75.0,12
Vel'Koz,MID,Lissandra,61.54,13
Vel'Koz,MID,Katarina,60.32,63
Vel'Koz,MID,Vladimir,59.09,22
Vel'Koz,MID,Kassadin,58.9,73
Vel'Koz,MID,Kayle,58.33,12
Vel'Koz,MID,Diana,57.89,19
Vel'Koz,MID,Aurora,57.69,26
Vel'Koz,MID,Anivia,57.14,21
Vel'Koz,MID,Zed,55.74,61
Vel'Koz,MID,Cassiopeia,55.56,18
Vel'Koz,MID,Talon,53.33,15
Vel'Koz,MID,Akshan,52.63,38
Vel'Koz,MID,Aurelion Sol,52.17,23
Vel'Koz,MID,Fizz,51.52,33
Vel'Koz,SUPPORT,Pantheon,71.43,14
Vel'Koz,SUPPORT,Neeko,66.0,50
Vel'Koz,SUPPORT,Janna,64.04,89
Vel'Koz,SUPPORT,Thresh,59.17,120
Vel'Koz,SUPPORT,Leona,58.82,85
Vel'Koz,SUPPORT,Elise,57.14,21
Vel'Koz,SUPPORT,Milio,57.14,42
Vel'Koz,SUPPORT,Nami,56.48,193
Vel'Koz,SUPPORT,Alistar,54.84,62
Vel'Koz,SUPPORT,Braum,54.0,100
Vel'Koz,SUPPORT,Morgana,53.85,13
Vel'Koz,SUPPORT,Renata Glasc,53.85,13
Vel'Koz,SUPPORT,Lulu,53.1,145
Vel'Koz,SUPPORT,Senna,52.63,38
Vel'Koz,SUPPORT,Bard,52.34,107
Vel'Koz,SUPPORT,Yuumi,52.17,46
Vel'Koz,SUPPORT,Sona,51.92,104
Vex,MID,Hwei,68.29,41
Vex,MID,Veigar,67.74,31
Vex,MID,Aurelion Sol,60.87,23
Vex,MID,Kayle,58.82,17
Vex,MID,Qiyana,58.16,98
Vex,MID,Twisted Fate,56.52,69
Vex,MID,Zoe,56.45,62
Vex,MID,Ahri,53.98,113
Vex,MID,Xerath,53.06,49
Vex,MID,Anivia,52.17,46
Vex,MID,Diana,51.43,35
Vex,MID,Galio,51.25,80
Vex,MID,Fizz,51.16,43
Vi,JUNGLE,Shaco,64.71,51
Vi,JUNGLE,Lillia,58.06,31
Vi,JUNGLE,Kindred,57.78,45
Vi,JUNGLE,Karthus,56.6,53
Vi,JUNGLE,Wukong,56.16,73
Vi,JUNGLE,Evelynn,56.1,41
Vi,JUNGLE,Diana,55.81,172
Vi,JUNGLE,Rek'Sai,55.4,139
Vi,JUNGLE,Ekko,54.95,222
Vi,JUNGLE,Sylas,54.84,124
Vi,JUNGLE,Master Yi,54.76,84
Vi,JUNGLE,Jarvan IV,54.63,205
Vi,JUNGLE,Lee Sin,54.46,650
Vi,JUNGLE,Elise,53.57,56
Vi,JUNGLE,Nunu & Willump,53.45,58
Vi,JUNGLE,Malphite,52.83,53
Vi,JUNGLE,Kayn,52.63,38
Vi,JUNGLE,Hecarim,52.38,84
Vi,JUNGLE,Rengar,51.96,102
Vi,JUNGLE,Viego,51.67,480
Vi,JUNGLE,Zac,50.59,85
Viego,JUNGLE,Nidalee,58.82,527
Viego,JUNGLE,Karthus,58.42,279
Viego,JUNGLE,Elise,57.69,390
Viego,JUNGLE,Rek'Sai,57.47,696
Viego,JUNGLE,Udyr,57.0,200
Viego,JUNGLE,Rammus,56.25,176
Viego,JUNGLE,Zac,56.15,561
Viego,JUNGLE,Pantheon,56.13,155
Viego,JUNGLE,Rengar,55.86,734
Viego,JUNGLE,Qiyana,55.65,859
Viego,JUNGLE,Dr. Mundo,55.56,351
Viego,JUNGLE,Master Yi,54.9,510
Viego,JUNGLE,Shaco,54.77,451
Viego,JUNGLE,Evelynn,54.67,289
Viego,JUNGLE,Bel'Veth,54.43,327
Viego,JUNGLE,Nunu & Willump,54.37,469
Viego,JUNGLE,Xin Zhao,53.79,448
Viego,JUNGLE,Ivern,53.74,281
Viego,JUNGLE,Talon,53.67,859
Viego,JUNGLE,Ekko,53.41,438
Viego,JUNGLE,Lee Sin,53.32,800
Viego,JUNGLE,Hecarim,52.95,678
Viego,JUNGLE,Kayn,52.83,371
Viego,JUNGLE,Zyra,52.83,212
Viego,JUNGLE,Graves,52.75,783
Viego,JUNGLE,Jayce,52.75,581
Viego,JUNGLE,Kha'Zix,52.39,571
Viego,JUNGLE,Naafiri,52.3,304
Viego,JUNGLE,Malphite,51.76,313
Viego,JUNGLE,Kindred,51.26,357
Viego,JUNGLE,Volibear,51.05,478
Viego,JUNGLE,Diana,50.71,690
Viktor,MID,Talon,60.75,107
Viktor,MID,Lux,59.32,118
Viktor,MID,Kayle,58.62,58
Viktor,MID,Vex,58.21,67
Viktor,MID,Katarina,57.48,301
Viktor,MID,Xerath,56.83,227
Viktor,MID,Akshan,56.45,186
Viktor,MID,Kassadin,55.8,224
Viktor,MID,Fizz,54.43,79
Viktor,MID,Qiyana,54.3,186
Viktor,MID,Twisted Fate,53.78,251
Viktor,MID,Cassiopeia,53.7,54
Viktor,MID,Malzahar,53.51,114
Viktor,MID,Veigar,53.45,116
Viktor,MID,Zoe,53.27,199
Viktor,MID,Syndra,52.86,454
Viktor,MID,Anivia,52.79,197
Viktor,MID,Hwei,52.67,131
Viktor,MID,Ahri,51.6,281
Viktor,MID,Orianna,51.52,526
Viktor,MID,Swain,50.94,53
Viktor,MID,Vel'Koz,50.82,61
Viktor,MID,Yone,50.73,205
Viktor,MID,LeBlanc,50.68,221
Viktor,MID,Ryze,50.68,592
Viktor,MID,Yasuo,50.53,285
Viktor,MID,Aurelion Sol,50.49,103
Viktor,MID,Lissandra,50.45,111
Viktor,MID,Azir,50.43,115
Vladimir,MID,Jayce,72.73,33
Vladimir,MID,Lissandra,64.71,51
Vladimir,MID,Cassiopeia,61.36,44
Vladimir,MID,Aurelion Sol,61.29,62
Vladimir,MID,Vex,61.29,31
Vladimir,MID,Syndra,58.39,137
Vladimir,MID,Zoe,57.61,92
Vladimir,MID,Anivia,57.14,105
Vladimir,MID,Zed,56.67,180
Vladimir,MID,Ekko,54.76,84
Vladimir,MID,Lux,54.55,55
Vladimir,MID,Qiyana,54.55,110
Vladimir,MID,Orianna,54.33,127
Vladimir,MID,Viktor,54.23,142
Vladimir,MID,Corki,54.17,24
Vladimir,MID,Talon,54.05,74
Vladimir,MID,Sylas,54.0,150
Vladimir,MID,Malzahar,52.29,109
Vladimir,MID,Katarina,51.4,214
Vladimir,MID,Akshan,50.91,110
Vladimir,MID,LeBlanc,50.62,81
Vladimir,TOP,Teemo,60.0,45
Vladimir,TOP,Kennen,58.54,164
Vladimir,TOP,Nasus,58.33,96
Vladimir,TOP,Poppy,58.33,24
Vladimir,TOP,Rumble,56.36,110
Vladimir,TOP,Quinn,56.0,25
Vladimir,TOP,Shen,56.0,100
Vladimir,TOP,Ambessa,55.84,154
Vladimir,TOP,Jayce,55.77,104
Vladimir,TOP,Mordekaiser,55.77,52
Vladimir,TOP,Kled,55.56,27
Vladimir,TOP,K'Sante,55.47,128
Vladimir,TOP,Gangplank,54.66,161
Vladimir,TOP,Riven,54.29,105
Vladimir,TOP,Urgot,54.24,59
Vladimir,TOP,Ornn,53.49,86
Vladimir,TOP,Yorick,53.16,79
Vladimir,TOP,Sett,53.06,49
Vladimir,TOP,Dr. Mundo,52.63,76
Vladimir,TOP,Tryndamere,52.5,40
Vladimir,TOP,Aatrox,52.17,161
Vladimir,TOP,Darius,51.11,90
Vladimir,TOP,Irelia,51.09,184
Vladimir,TOP,Renekton,50.72,138
Volibear,JUNGLE,Fiddlesticks,61.02,59
Volibear,JUNGLE,Elise,59.46,74
Volibear,JUNGLE,Nocturne,57.38,61
Volibear,JUNGLE,Shaco,57.27,110
Volibear,JUNGLE,Rek'Sai,57.02,121
Volibear,JUNGLE,Karthus,55.17,58
Volibear,JUNGLE,Nunu & Willump,54.7,117
Volibear,JUNGLE,Vi,53.7,54
Volibear,JUNGLE,Bel'Veth,52.83,53
Volibear,JUNGLE,Kindred,52.54,59
Volibear,JUNGLE,Zed,52.48,101
Volibear,JUNGLE,Rengar,52.06,194
Volibear,JUNGLE,Kha'Zix,52.05,244
Volibear,JUNGLE,Sylas,51.61,93
Volibear,JUNGLE,Ekko,51.57,254
Volibear,TOP,Dr. Mundo,60.81,74
Volibear,TOP,Warwick,59.52,42
Volibear,TOP,Vladimir,59.09,66
Volibear,TOP,Jax,58.24,170
Volibear,TOP,Kennen,58.1,105
Volibear,TOP,Teemo,58.06,31
Volibear,TOP,Shen,56.84,95
Volibear,TOP,Gangplank,56.6,106
Volibear,TOP,Urgot,55.26,76
Volibear,TOP,Gnar,55.13,156
Volibear,TOP,Fiora,54.92,122
Volibear,TOP,Rumble,52.34,128
Volibear,TOP,Ambessa,52.08,192
Volibear,TOP,Jayce,52.05,73
Volibear,TOP,Sett,51.75,114
Volibear,TOP,Riven,51.66,151
Volibear,TOP,Nasus,51.61,62
Volibear,TOP,Cho'Gath,50.77,65
Volibear,TOP,Camille,50.62,81
Warwick,JUNGLE,Zyra,83.33,12
Warwick,JUNGLE,Kindred,77.78,18
Warwick,JUNGLE,Ivern,76.92,13
Warwick,JUNGLE,Briar,70.0,10
Warwick,JUNGLE,Rek'Sai,61.29,31
Warwick,JUNGLE,Lillia,61.11,18
Warwick,JUNGLE,Shaco,59.09,22
Warwick,JUNGLE,Bel'Veth,58.33,12
Warwick,JUNGLE,Kha'Zix,58.06,62
Warwick,JUNGLE,Fiddlesticks,57.14,14
Warwick,JUNGLE,Hecarim,57.14,21
Warwick,JUNGLE,Talon,56.86,51
Warwick,JUNGLE,Dr. Mundo,55.56,18
Warwick,JUNGLE,Sejuani,55.56,9
Warwick,JUNGLE,Rengar,55.26,38
Warwick,JUNGLE,Lee Sin,54.88,82
Warwick,JUNGLE,Graves,52.17,23
Warwick,JUNGLE,Xin Zhao,52.0,25
Warwick,JUNGLE,Master Yi,51.61,31
Warwick,JUNGLE,Viego,50.38,133
Warwick,TOP,Gragas,75.0,20
Warwick,TOP,Rengar,72.73,11
Warwick,TOP,Kennen,63.27,49
Warwick,TOP,Jayce,60.0,35
Warwick,TOP,Tryndamere,59.09,22
Warwick,TOP,Aatrox,57.81,64
Warwick,TOP,Poppy,57.14,14
Warwick,TOP,Rumble,56.36,55
Warwick,TOP,Riven,56.0,50
Warwick,TOP,Kayle,55.0,20
Warwick,TOP,Aurora,53.85,13
Warwick,TOP,Jax,53.25,77
Warwick,TOP,Fiora,52.94,68
Warwick,TOP,Ornn,52.94,34
Warwick,TOP,Nasus,52.38,21
Warwick,TOP,Vladimir,51.72,29
Warwick,TOP,Zaahen,51.39,72
Warwick,TOP,Gnar,51.35,37
Wukong,JUNGLE,Nunu & Willump,64.71,51
Wukong,JUNGLE,Rek'Sai,63.51,74
Wukong,JUNGLE,Elise,60.53,38
Wukong,JUNGLE,Karthus,60.0,25
Wukong,JUNGLE,Shaco,60.0,55
Wukong,JUNGLE,Graves,58.73,63
Wukong,JUNGLE,Xin Zhao,58.06,62
Wukong,JUNGLE,Diana,57.05,149
Wukong,JUNGLE,Kha'Zix,56.83,183
Wukong,JUNGLE,Jayce,56.41,117
Wukong,JUNGLE,Ekko,55.93,118
Wukong,JUNGLE,Hecarim,55.56,63
Wukong,JUNGLE,Nocturne,55.56,45
Wukong,JUNGLE,Zac,54.69,64
Wukong,JUNGLE,Bel'Veth,53.33,45
Wukong,JUNGLE,Kayn,52.5,40
Wukong,JUNGLE,Evelynn,52.38,21
Wukong,JUNGLE,Warwick,52.38,21
Wukong,JUNGLE,Lee Sin,52.03,271
Wukong,JUNGLE,Viego,52.03,369
Wukong,JUNGLE,Kindred,51.28,39
Wukong,JUNGLE,Naafiri,51.16,43
Wukong,JUNGLE,Master Yi,50.98,102
Wukong,JUNGLE,Volibear,50.68,73
Wukong,JUNGLE,Qiyana,50.56,89
Wukong,JUNGLE,Rengar,50.42,119
Xayah,ADC,Swain,67.57,37
Xayah,ADC,Smolder,61.05,95
Xayah,ADC,Ziggs,58.06,31
Xayah,ADC,Miss Fortune,57.69,78
Xayah,ADC,Yasuo,56.82,44
Xayah,ADC,Caitlyn,55.4,139
Xayah,ADC,Seraphine,55.0,20
Xayah,ADC,Jinx,54.38,217
Xayah,ADC,Aphelios,54.03,211
Xayah,ADC,Samira,53.15,111
Xayah,ADC,Kog'Maw,52.0,25
Xayah,ADC,Jhin,51.97,152
Xayah,ADC,Corki,51.64,122
Xayah,ADC,Varus,50.86,175
Xerath,MID,Vel'Koz,72.22,36
Xerath,MID,Talon,60.34,58
Xerath,MID,Kassadin,59.73,149
Xerath,MID,Katarina,59.12,159
Xerath,MID,Sylas,58.78,148
Xerath,MID,Corki,58.62,29
Xerath,MID,Vladimir,58.62,58
Xerath,MID,LeBlanc,57.04,135
Xerath,MID,Zoe,56.25,160
Xerath,MID,Fizz,55.7,79
Xerath,MID,Ahri,54.87,195
Xerath,MID,Aurelion Sol,54.69,64
Xerath,MID,Qiyana,54.02,87
Xerath,MID,Akshan,53.09,81
Xerath,MID,Yasuo,52.29,153
Xerath,MID,Twisted Fate,51.55,161
Xerath,MID,Ekko,51.04,96
Xin Zhao,JUNGLE,Zyra,67.86,28
Xin Zhao,JUNGLE,Lillia,67.65,34
Xin Zhao,JUNGLE,Karthus,64.58,48
Xin Zhao,JUNGLE,Dr. Mundo,62.79,43
Xin Zhao,JUNGLE,Kindred,62.5,48
Xin Zhao,JUNGLE,Zac,62.34,77
Xin Zhao,JUNGLE,Evelynn,58.97,39
Xin Zhao,JUNGLE,Volibear,56.72,67
Xin Zhao,JUNGLE,Qiyana,56.36,110
Xin Zhao,JUNGLE,Rengar,55.56,117
Xin Zhao,JUNGLE,Master Yi,54.84,62
Xin Zhao,JUNGLE,Vi,54.84,93
Xin Zhao,JUNGLE,Malphite,53.85,39
Xin Zhao,JUNGLE,Rek'Sai,53.33,105
Xin Zhao,JUNGLE,Talon,52.58,97
Xin Zhao,JUNGLE,Nidalee,52.5,80
Xin Zhao,JUNGLE,Fiddlesticks,52.38,42
Xin Zhao,JUNGLE,Lee Sin,52.29,459
Xin Zhao,JUNGLE,Sylas,52.22,90
Xin Zhao,JUNGLE,Udyr,52.17,23
Xin Zhao,JUNGLE,Pantheon,51.85,27
Xin Zhao,JUNGLE,Ekko,51.55,194
Xin Zhao,JUNGLE,Ivern,51.35,37
Xin Zhao,JUNGLE,Jarvan IV,50.53,188
Yasuo,ADC,Senna,61.54,13
Yasuo,ADC,Corki,60.43,139
Yasuo,ADC,Veigar,58.33,24
Yasuo,ADC,Ziggs,58.33,24
Yasuo,ADC,Vayne,56.76,74
Yasuo,ADC,Swain,56.25,32
Yasuo,ADC,Kog'Maw,55.0,20
Yasuo,ADC,Miss Fortune,51.16,43
Yasuo,MID,Kayle,57.8,109
Yasuo,MID,Lissandra,56.5,223
Yasuo,MID,LeBlanc,56.22,201
Yasuo,MID,Vel'Koz,56.16,73
Yasuo,MID,Qiyana,56.03,257
Yasuo,MID,Zoe,54.46,303
Yasuo,MID,Galio,54.35,333
Yasuo,MID,Vladimir,53.88,206
Yasuo,MID,Swain,53.57,84
Yasuo,MID,Malzahar,53.55,155
Yasuo,MID,Anivia,53.18,220
Yasuo,MID,Akshan,53.02,232
Yasuo,MID,Kassadin,52.79,358
Yasuo,MID,Diana,52.78,108
Yasuo,MID,Lux,52.76,127
Yasuo,MID,Vex,52.7,222
Yasuo,MID,Twisted Fate,52.5,280
Yasuo,MID,Taliyah,51.97,304
Yasuo,MID,Zed,51.82,494
Yasuo,MID,Fizz,51.32,152
Yasuo,MID,Talon,50.69,144
Yone,MID,Vex,62.32,69
Yone,MID,Cassiopeia,61.7,47
Yone,MID,Zoe,61.54,169
Yone,MID,Lux,61.04,77
Yone,MID,Katarina,61.01,218
Yone,MID,Qiyana,60.33,121
Yone,MID,Anivia,59.57,141
Yone,MID,Talon,59.04,83
Yone,MID,Kassadin,58.39,298
Yone,MID,Vladimir,58.24,91
Yone,MID,Akshan,57.93,145
Yone,MID,LeBlanc,57.26,117
Yone,MID,Jayce,56.52,46
Yone,MID,Fizz,55.56,63
Yone,MID,Orianna,55.1,245
Yone,MID,Lissandra,55.0,80
Yone,MID,Akali,54.63,313
Yone,MID,Twisted Fate,54.34,173
Yone,MID,Xerath,54.17,96
Yone,MID,Sylas,53.97,239
Yone,MID,Zed,53.74,227
Yone,MID,Taliyah,53.68,136
Yone,MID,Ahri,52.88,191
Yone,MID,Ryze,52.86,420
Yone,MID,Hwei,51.47,68
Yone,MID,Vel'Koz,51.11,45
Yone,MID,Yasuo,50.15,331
Yone,TOP,Irelia,64.08,142
Yone,TOP,Teemo,61.54,26
Yone,TOP,Fiora,61.17,103
Yone,TOP,Urgot,61.02,59
Yone,TOP,Cho'Gath,60.0,60
Yone,TOP,Riven,59.81,107
Yone,TOP,Mordekaiser,58.82,68
Yone,TOP,Vladimir,58.57,70
Yone,TOP,Zaahen,56.58,152
Yone,TOP,Kennen,56.47,85
Yone,TOP,Ambessa,56.19,194
Yone,TOP,Jayce,56.19,105
Yone,TOP,Aatrox,55.65,248
Yone,TOP,Renekton,55.56,234
Yone,TOP,Jax,55.5,191
Yone,TOP,Rumble,55.24,143
Yone,TOP,Gragas,55.22,67
Yone,TOP,Kayle,54.93,71
Yone,TOP,Gwen,54.35,92
Yone,TOP,Warwick,53.57,28
Yone,TOP,Anivia,53.33,30
Yone,TOP,Darius,52.48,101
Yone,TOP,Gnar,52.38,84
Yone,TOP,Kled,52.17,46
Yorick,TOP,Anivia,70.0,20
Yorick,TOP,Darius,65.52,58
Yorick,TOP,Kayle,63.16,38
Yorick,TOP,Tryndamere,62.86,35
Yorick,TOP,Shen,62.07,58
Yorick,TOP,Fiora,61.76,68
Yorick,TOP,Volibear,60.0,45
Yorick,TOP,Yone,60.0,60
Yorick,TOP,Sion,59.34,91
Yorick,TOP,Irelia,58.97,78
Yorick,TOP,Jax,58.33,144
Yorick,TOP,Mordekaiser,58.21,67
Yorick,TOP,Renekton,58.04,112
Yorick,TOP,Gwen,57.78,90
Yorick,TOP,Nasus,57.69,26
Yorick,TOP,K'Sante,56.41,78
Yorick,TOP,Sett,56.36,55
Yorick,TOP,Gnar,56.34,71
Yorick,TOP,Illaoi,56.0,25
Yorick,TOP,Gangplank,55.79,95
Yorick,TOP,Urgot,55.71,70
Yorick,TOP,Singed,55.0,60
Yorick,TOP,Ornn,54.72,53
Yorick,TOP,Ambessa,54.61,141
Yorick,TOP,Cho'Gath,54.0,50
Yorick,TOP,Aurora,52.78,36
Yorick,TOP,Gragas,52.73,55
Yorick,TOP,Zaahen,51.43,70
Yorick,TOP,Riven,50.91,55
Yorick,TOP,Aatrox,50.53,95
Yunara,ADC,Nilah,56.94,209
Yunara,ADC,Kog'Maw,56.05,157
Yunara,ADC,Swain,54.66,247
Yunara,ADC,Varus,53.02,407
Yunara,ADC,Jinx,52.68,509
Yunara,ADC,Caitlyn,52.47,498
Yunara,ADC,Zeri,51.9,474
Yunara,ADC,Smolder,51.54,615
Yunara,ADC,Seraphine,51.52,165
Yunara,ADC,Tristana,51.35,557
Yunara,ADC,Yasuo,50.3,167
Yunara,ADC,Corki,50.23,81
Yunara,ADC,Samira,50.16,317
Yuumi,SUPPORT,Braum,60.92,261
Yuumi,SUPPORT,Pyke,60.77,209
Yuumi,SUPPORT,Rakan,60.66,183
Yuumi,SUPPORT,Leona,59.83,229
Yuumi,SUPPORT,Blitzcrank,59.5,121
Yuumi,SUPPORT,Morgana,59.37,32
Yuumi,SUPPORT,Thresh,59.28,334
Yuumi,SUPPORT,Nautilus,58.17,416
Yuumi,SUPPORT,Alistar,57.27,227
Yuumi,SUPPORT,Elise,57.14,42
Yuumi,SUPPORT,Taric,57.14,35
Yuumi,SUPPORT,Karma,56.63,362
Yuumi,SUPPORT,Bard,56.51,269
Yuumi,SUPPORT,Rell,55.61,196
Yuumi,SUPPORT,Sona,55.23,306
Yuumi,SUPPORT,Maokai,54.84,31
Yuumi,SUPPORT,Lulu,53.83,470
Yuumi,SUPPORT,Soraka,53.72,188
Yuumi,SUPPORT,Nami,52.44,574
Yuumi,SUPPORT,Janna,51.87,214
Yuumi,SUPPORT,Poppy,51.79,56
Yuumi,SUPPORT,Zilean,50.6,83
Yuumi,SUPPORT,Milio,50.53,188
Yuumi,SUPPORT,Neeko,50.49,103
Zaahen,TOP,Poppy,58.67,75
Zaahen,TOP,Rumble,58.15,227
Zaahen,TOP,Kled,57.8,109
Zaahen,TOP,Gangplank,53.79,277
Zaahen,TOP,Singed,53.73,134
Zaahen,TOP,Aurora,53.57,56
Zaahen,TOP,Kayle,53.49,129
Zaahen,TOP,Gnar,53.22,233
Zaahen,TOP,Gwen,52.78,216
Zaahen,TOP,Vladimir,52.59,116
Zaahen,TOP,Teemo,52.11,71
Zaahen,TOP,Garen,51.82,137
Zaahen,TOP,Darius,51.79,224
Zaahen,TOP,Kennen,51.69,178
Zaahen,TOP,Fiora,51.67,269
Zaahen,TOP,Volibear,51.57,159
Zaahen,TOP,Shen,51.19,168
Zaahen,TOP,Jayce,51.18,170
Zaahen,TOP,Irelia,50.86,232
Zac,JUNGLE,Naafiri,64.15,53
Zac,JUNGLE,Warwick,57.14,35
Zac,JUNGLE,Rek'Sai,56.16,146
Zac,JUNGLE,Nunu & Willump,54.95,111
Zac,JUNGLE,Bel'Veth,54.35,46
Zac,JUNGLE,Master Yi,53.66,82
Zac,JUNGLE,Evelynn,53.57,56
Zac,JUNGLE,Diana,53.04,345
Zac,JUNGLE,Kha'Zix,52.17,276
Zac,JUNGLE,Elise,51.72,58
Zac,JUNGLE,Nidalee,51.22,82
Zac,JUNGLE,Volibear,51.2,125
Zac,JUNGLE,Ivern,50.75,67
Zac,JUNGLE,Qiyana,50.68,146
Zed,JUNGLE,Kindred,60.27,73
Zed,JUNGLE,Talon,59.17,240
Zed,JUNGLE,Rengar,57.79,199
Zed,JUNGLE,Karthus,56.63,83
Zed,JUNGLE,Fiddlesticks,56.45,62
Zed,JUNGLE,Dr. Mundo,55.66,106
Zed,JUNGLE,Shaco,54.48,134
Zed,JUNGLE,Qiyana,53.54,198
Zed,JUNGLE,Diana,53.12,401
Zed,JUNGLE,Ekko,52.82,373
Zed,JUNGLE,Nidalee,52.71,129
Zed,JUNGLE,Kha'Zix,52.63,380
Zed,JUNGLE,Wukong,52.56,78
Zed,JUNGLE,Zac,52.27,132
Zed,JUNGLE,Viego,51.71,700
Zed,JUNGLE,Xin Zhao,51.25,80
Zed,JUNGLE,Zyra,51.02,49
Zed,JUNGLE,Lee Sin,50.48,517
Zed,JUNGLE,Jayce,50.12,407
Zed,MID,Kayle,61.54,78
Zed,MID,Zoe,56.82,308
Zed,MID,Twisted Fate,56.79,280
Zed,MID,Qiyana,55.87,281
Zed,MID,Jayce,55.56,72
Zed,MID,Akshan,54.69,256
Zed,MID,Katarina,53.66,451
Zed,MID,Xerath,53.19,188
Zed,MID,Ryze,52.72,624
Zed,MID,Azir,52.68,112
Zed,MID,Sylas,52.41,477
Zed,MID,Vex,52.14,117
Zed,MID,Akali,52.09,526
Zed,MID,Swain,52.0,75
Zed,MID,Veigar,51.46,103
Zed,MID,Diana,50.69,144
Zed,MID,Malzahar,50.6,168
Zed,MID,Viktor,50.59,253
Zed,MID,Anivia,50.46,216
Zeri,ADC,Seraphine,62.79,43
Zeri,ADC,Ziggs,62.22,45
Zeri,ADC,Yasuo,60.0,35
Zeri,ADC,Draven,59.14,93
Zeri,ADC,Tristana,56.2,121
Zeri,ADC,Aphelios,54.23,378
Zeri,ADC,Jinx,53.16,380
Zeri,ADC,Caitlyn,53.14,271
Zeri,ADC,Samira,51.72,87
Zeri,ADC,Xayah,50.85,59
Ziggs,ADC,Tristana,55.38,65
Ziggs,ADC,Jhin,55.25,181
Ziggs,ADC,Kai'Sa,54.66,247
Ziggs,ADC,Yunara,53.7,162
Ziggs,ADC,Kog'Maw,52.63,38
Ziggs,ADC,Lucian,51.9,158
Ziggs,ADC,Sivir,50.3,169
Ziggs,MID,Fizz,83.33,18
Ziggs,MID,Vladimir,76.92,13
Ziggs,MID,Anivia,66.67,12
